################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
# x1 contains/holds/encloses/includes contents x2 within; x1 is a vessel containing x2            
vasru1:A;contain
vasru2:S;contents
#
# x1 breathes/respires x2 [gas]                                                                   
vasxu1:A;breathe
vasxu2:D;breath
#
# x1 [seller] sells/vends x2 [goods/service/commodity] to buyer x3 for amount/cost/expense x4     
vecnu1:A;sell
vecnu2:S;goods/commodity
vecnu3:A;buy
vecnu4:D;sale price
#
# x1 takes revenge on/retaliates against x2 (person) for wrong x3 (nu) with vengeance x4 (nu)     
venfu1:A;take* revenge
venfu2:D;victim* of revenge
venfu2t:on victim
venfu3:D;reason* for revenge
venfu3t:for reason
venfu4:D;act* of vengeance
venfu4t:vengeance
#
# x1 is spring/springtime [warming season] of year x2 at location x3; (adjective:) x1 is vernal   
vensa1:S;springtime
vensa1a:vernal
vensa2:D;year* of springtime
vensa2t:of year
vensa3:D;location* of spring
vensa3t:at location
#
# x1 is a child/kid/juvenile [a young person] of age x2, immature by standard x3                  
verba1:D;child
verba1n:child/children
verba2:D;child's age
verba3:S;standard of childhood
verba3t:child by standard
#
# x1 is a/the vagina [body-part] of x2                                                            
#vibna1:DSAP;
#vibna2:DSAP;
#
# x1 is a video monitor/CRT/screen [machine] serving function x2                                  
vidni1:D;screen
vidni2:D;function* of screen
vidni2t:serving function
#
# x1 is a virus of species/breed/defining property x2 capable of infecting [at] x3                
vidru1:D;virus
vidru2:S;virus species
vidru2t:of species
vidru3:R;susceptible to virus
vidru3t:infecting
#
# (adjective:) x1 is fresh/unspoiled                                                              
vifne1:P;fresh
#
# x1 [body] excretes waste x2 from source x3 via means/route x4                                   
vikmi1:A;excrete* waste
vikmi2:D;excreted waste
vikmi3:D;source* of excreted waste
vikmi3t:from source
vikmi4:S;means of excretion
#
# x1 is thick/viscous under conditions x2                                                         
viknu1:P;thick
viknu2:S;viscosity conditions
viknu2t:under conditions
#
# x1 removes/subtracts/deducts/takes away x2 from x3 with/leaving result/remnant/remainder x4     
vimcu1:A;remove
vimcu2:P;removed
vimcu3:D;source* of removal
vimcu3t:from source
vimcu4:D;remainder
#
# x1 is poisonous/venomous/toxic/a toxin to x2                                                    
vindu1:P;poisonous
vindu2:D;poison victim
#
# x1 is an airplane/aircraft [flying vehicle] for carrying passengers/cargo x2, propelled by x3   
vinji1:D;aircraft
vinji2:D;aircraft cargo
vinji2t:with cargo
vinji3:A;propel* aircraft
vinji3t:with propulsion
#
# x1 is a deputy/vice/subordinate in aspect [or organization principle] x2 (ka) to principal x3   
vipsi1:P;subordinate
vipsi2:D;aspect* of being subordinate
vipsi2t:in aspect
vipsi3:P;superordinate
#
# x1 is brave/valiant/courageous in activity x2 (event) by standard x3                            
virnu1:P;brave
virnu2:D;activity* requiring bravery
virnu3:S;standard of bravery
virnu3t:by standard
#
# x1 sees/views/perceives visually x2 under conditions x3                                         
viska1:A;see
viska2:P;seen
viska3:D;viewing condition
#
# x1 is irregular/occasional/intermittent in property/action/aspect x2                            
vitci1:P;irregular
vitci2:S;irregular property
vitci2t:in property
#
# x1 is a guest/visitor of x2 at place/event x3; x1 visits x2/x3                                  
vitke1:A;visit
vitke2:D;host
vitke3:D;visited place*/event*
vitke3t:place(s)/event(s)
#
# x1 is permanent/lasting/[eternal] in property x2 (ka) by standard x3 [time-span/expectant one]  
vitno1:P;permanent
vitno2:S;permanent property
vitno2t:in property
vitno3:S;standard for permanence
vitno3t:by standard
#
# x1 is a/the vulva [body-part] of x2                                                             
vlagi1:D;vulva
vlagi2:D;body* with vulva
vlagi2t:of body
#
# x1 is an event/state/act of violence                                                            
#vlile1:D;violent act*
#
# x1 is a logical alternation/disjunction, stating that x2 (du'u) and/or x3 (du'u) is/are true    
vlina1:D;logical disjunction
vlina2:D;alternative* of disjunction
vlina2t:alternative1
vlina3:D;alternative* of disjunction
vlina3t:alternative2
#
# x1 has the power to bring about x2 under conditions x3; x1 is powerful in aspect x2 under x3    
vlipa1:P;powerful
vlipa2:P;brought about by power
vlipa3:S;conditions for exerting power
#
# x1 flies [in air/atmosphere] using lifting/propulsion means x2                                  
vofli1:A;fly
vofli2:S;lifting means
#
# x1 is a voice/speech sound of individual x2                                                     
voksa1:D;voice sound
voksa2:R;having voice
#
# x1 is a doorway/gateway/access way between x2 and x3 of structure x4                            
vorme1:D;doorway
vorme2:P;with doorway
vorme3:P;with doorway
vorme4:D;doorway structure
vorme4t:structure
#
# x1 is a lever [tool] [of apparatus] for doing x2 [function/action], with fulcrum x3 and arm x4  
vraga1:D;lever
vraga2:D;purpose* of lever
vraga3:D;fulcrum
vraga4:D;lever arm
#
# x1 is a record of x2 (data/facts/du'u) about x3 (object/event) preserved in medium x4           
vreji1:D;recording
vreji2:D;recorded fact
vreji3:D;recorded topic
vreji3t:about topic
vreji4:D;recording medium
vreji4t:in medium
#
# x1 lies/rests/reclines/reposes on x2; x1 is reclining/recumbent/lying on x2                     
vreta1:A;recline
vreta2:D;surface for reclining on
vreta2t:on surface
#
# x1 (set/mass/ind.) is miscellaneous/various/assorted in property x2 (ka)                        
vrici1:P;miscellaneous
vrici2:D;miscellaneous property
#
# x1 is virtuous/saintly/[fine/moral/nice/holy/morally good] by standard x2                       
vrude1:P;virtuous
vrude2:S;standard of virtue
vrude2t:by standard
#
# x1 (ka) is a taste/flavor of/emitted by x2; x2 tastes of/like x1                                
vrusi1:D;taste
vrusi2:R;having taste
#
# x1 reflects Ukrainian language/culture/nationality in aspect x2                                 
#vukro1:DSAP;
#vukro2:DSAP;
#
# x1 dwells/lives/resides/abides at/inhabits/is a resident of location/habitat/nest/home/abode x2 
xabju1:A;dwell
xabju2:D;dwelling
#
# x1 is exactly/approximately half/semi-/demi-/hemi- of x2 by standard x3                         
xadba1:D;half
xadba1n:half/halves
xadba2:R;halved
xadba3:S;standard for half
xadba3t:by standard
#
# x1 is a/the body/corpus/corpse of x2; (adjective:) x1 is corporal/corporeal                     
xadni1:D;body
xadni1a:corporal
xadni2:R;having body
#
# x1 hungers for x2; x1 needs/wants food/fuel x2                                                  
xagji1:P;hungry
xagji2:D;subject* of hunger
xagji2t:hungry for
#
# x1 is a oboe/clarinet/saxophone [reed musical instrument] with reed x2                          
xagri1:D;reed instrument
xagri1t:instrument
xagri2:D;reed* of instrument
xagri2t:reed
#
# x1 is funny/comical to x2 in property/aspect x3 (nu/ka); x3 is what is funny about x1 to x2     
xajmi1:P;funny
xajmi2:P;amused
xajmi3:D;aspect* of funniness
xajmi3t:in aspect
#
# x1 (event) uses up/depletes/consumes/[wastes] x2 [resource]                                     
xaksu1:A;consume
xaksu2:P;consumed
#
# x1 uses levity/is non-serious/frivolous about x2 (abstraction)                                  
xalbo1:P;flippant
xalbo2:D;subject* of flippancy
xalbo2t:about
#
# x1 is a quantity of/contains/is made of alcohol of type x2 from source/process x3               
xalka1:S;alcohol
xalka2:S;type of alcohol
xalka2t:of type
xalka3:D;alcohol source
xalka3t:from source
#
# x1 (person) is panicked by crisis x2 (event/state)                                              
xalni1:P;panicked
xalni2:D;crisis
xalni2n:crisis(es)
#
# x1 (object/event) is good/beneficial/nice/[acceptable] for x2 by standard x3                    
xamgu1:P;good
xamgu2:A;goodness beneficiary
xamgu3:D;goodness standard
#
# x1 is x2 ampere(s) [metric unit] in current (default is 1) by standard x3                       
xampo1:R;measured in amperes
xampo1t:measured
xampo2:S;number of amperes
xampo2t:number
xampo3:S;standard for ampere
xampo3t:by standard
#
# x1 is a sea/ocean/gulf/[atmosphere] of planet x2, of fluid x3; (adjective:) x1 is marine        
xamsi1:D;sea*/ocean*
xamsi1a:marine
xamsi2:D;planet* with sea
xamsi3:S;sea fluid
#
# x1 is a/the hand [body-part] of x2; [metaphor: manipulating tool, waldo]                        
xance1:D;hand
xance2:D;body* with hand
xance2t:of body
#
# x1 is nervous/anxious about x2 (abstraction) under conditions x3                                
xanka1:P;anxious
xanka2:A;cause* anxiety
xanka2t:cause
xanka3:S;conditions for anxiety
xanka3t:under conditions
#
# x1 [concept] exists in the imagination of/is imagined by/is imaginary to x2                     
xanri1:P;imagined
xanri2:A;imagine
#
# x1 is an elephant of species/breed x2                                                           
xanto1:D;elephant
xanto2:S;elephant species
xanto2t:of species
#
# x1 is a weapon/arms for use against x2 by x3                                                    
xarci1:D;weapon
xarci2:R;attacked by weapon
xarci2t:to attack
xarci3:D;weapon user
#
# x1 is a pig/hog/swine/[boar] [pork/ham/bacon-producer] of species/breed x2                      
xarju1:D;pig
xarju2:S;pig species
xarju2t:of species
#
# x1 is stubborn/willfully opposing/resisting x2 about x3 (event/state)                           
xarnu1:P;stubborn
xarnu2:P;wilfully resisted
xarnu2t:thing resisted
xarnu3:D;reason* for resistance
xarnu3t:because
#
# x1 is a donkey/jackass of species/breed x2                                                      
xasli1:D;donkey
xasli2:S;donkey species
xasli2t:of species
#
# x1 is a/the sweat/perspiration from body x2, excreted by gland(s)/organs x3                     
xasne1:S;sweat
xasne2:D;sweating body
xasne3:D;sweating gland
#
# x1 is a letter/missive/[note] to intended audience x2 from author/originator x3 with content x4 
xatra1:D;letter
xatra2:D;audience* for letter
xatra2t:to audience
xatra3:D;author* of letter
xatra3t:with author
xatra4:D;content* of letter
xatra4t:with content
#
# x1 is 1x10**-18 of x2 in dimension/aspect x3 (default is units)                                 
#xatsi1:DSAP;
#xatsi2:DSAP;
#xatsi3:DSAP;
#
# x1 reflects Asiatic culture/nationality/geography in aspect x2                                  
#xazdo1:DSAP;
#xazdo2:DSAP;
#
# x1 hates/despises x2 (object/abstraction); x1 is full of hate for x2; x2 is odious to x1        
xebni1:A;hate
xebni2:P;hated
#
# x1 reflects Hebrew/Jewish/Israeli culture/nationality/language in aspect x2                     
#xebro1:DSAP;
#xebro2:DSAP;
#
# x1 is a hundred [100; 1x10**2] of x2 in dimension/aspect x3 (default is units)                  
#xecto1:DSAP;
#xecto2:DSAP;
#xecto3:DSAP;
#
# x1 is a/the jaw [body-part] of x2                                                               
xedja1:D;jaw
xedja2:D;body* with jaw
xedja2t:of body
#
# x1 is black/extremely dark-colored [color adjective]                                            
xekri1:P;black
#
# x1 reflects Greek/Hellenic culture/nationality/language in aspect x2                            
#xelso1:DSAP;
#xelso2:DSAP;
#
# x1 (person) is kind to x2 in actions/behavior x3                                                
xendo1:P;kind
xendo2:A;receive* kindness
xendo3:S;kind actions
#
# x1 regrets/rues (abstraction) x2; x1 is regretful/rueful/sorry/[remorseful] about x2            
xenru1:A;regret
xenru2:R;regretted
#
# x1 is 1x10**18 of x2 in dimension/aspect x3 (default is units)                                  
#xexso1:DSAP;
#xexso2:DSAP;
#xexso3:DSAP;
#
# x1 reflects Hindi language/culture/religion in aspect x2                                        
#xindo1:DSAP;
#xindo2:DSAP;
#
# x1 is a quantity of ink of color/pigment x2 used by writing device x3                           
xinmo1:S;ink
xinmo2:S;ink color
xinmo3:D;writing device* using ink
xinmo3t:for writing device
#
# x1 is a horse/equine/[colt/mare/stallion/pony] of species/breed x2                              
xirma1:D;horse
xirma2:S;horse species
xirma2t:of species
#
# x1 is a wheel [tool] of device/vehicle x2, made of materials/having properties x3               
xislu1:D;wheel
xislu2:D;wheeled vehicle*/device*
xislu2t:of vehicle/device
xislu3:S;wheel material/properties
xislu3t:of material/properties
#
# x1 reflects Hispano-American culture/nationalities in aspect x2                                 
#xispo1:DSAP;
#xispo2:DSAP;
#
# x1 is bad for x2 by standard x3; x1 is poor/unacceptable to x2                                  
xlali1:P;bad
xlali2:A;suffer* badness
xlali3:S;standard of badness
#
# x1 (agent) influences/lures/tempts x2 into action/state x3 by influence/threat/lure x4          
xlura1:A;tempt
xlura2:P;tempted
xlura3:D;action*/state* resulting from temptation
xlura3t:resulting action/state
xlura4:D;temptation
#
# x1 is a hotel/inn/hostel at location x2 operated by x3                                          
xotli1:D;hotel
xotli2:D;hotel location
xotli2t:at location
xotli3:D;hotel operator
xotli3t:operated by
#
# x1 reflects Arabic-speaking culture/nationality in aspect x2                                    
#xrabo1:DSAP;
#xrabo2:DSAP;
#
# x1 (event) injures/harms/damages victim x2 in property x3 (ka) resulting in injury x4 (state)   
#xrani1:DSAP;
#xrani2:DSAP;
#xrani3:DSAP;
#xrani4:DSAP;
#
# x1 pertains to the Christian religion/culture/nationality in aspect x2                          
#xriso1:DSAP;
#xriso2:DSAP;
#
# x1 is a quantity of buckwheat/rhubarb/sorrel grass of species/strain x2                         
xruba1:S;buckwheat/rhubarb
xruba2:S;buckwheat species
xruba2t:of species
#
# x1 is a turkey [food/bird] of species/breed x2                                                  
xruki1:D;turkey
xruki2:S;turkey species
xruki2t:of species
#
# x1 is a/the flower/blossom/bloom [body-part] of plant/species x2; (adjective:) x1 is floral     
xrula1:D;flower
xrula2:D;flowering plant
#
# x1 (agent) returns x2 to origin/earlier state x3 from x4; x1 moves/gives x2 back to x3 from x4  
xruti1:A;return
xruti2:P;returned
xruti3:D;original state
xruti3t:to
xruti4:D;later state
xruti4t:from
#
# x1 is an instance of substance/chemical/drug x2 (individual or mass) with purity x3             
#xukmi1:DSAP;
#xukmi2:DSAP;
#xukmi3:DSAP;
#
# x1 is red/crimson/ruddy [color adjective]                                                       
xunre1:P;red
#
# x1 reflects Urdu language/culture/nationality in aspect x2                                      
#xurdo1:DSAP;
#xurdo2:DSAP;
#
# x1 (agent) asserts/claims/declares x2 (du'u) is true [can be used for epistemology of authority]
xusra1:A;assert
xusra2:P;asserted
#
# x1 is smooth/even/[soft/silky] in texture/regularity                                            
xutla1:P;smooth
#
# x1 is a favorable connotation/sense/way-of-looking-at x2 used by x3                             
#zabna1:DSAP;
#zabna2:DSAP;
#zabna3:DSAP;
#
# x1 is a gymnast at/performs gymnastics feat x2                                                  
zajba1:D;gymnast
zajba2:D;gymnastic feat
#
# x1 [individual or mass of hard surfaces] grinds/pulverizes/crushes x2 into powder x3            
zalvi1:A;grind
zalvi2:P;ground
zalvi3:S;powder produced by griding
zalvi3t:into powder
#
# x1 approves of/gives favor to plan/action x2 (object/event)                                     
zanru1:A;approver
zanru2:D;approved plan
#
# x1 is a market/store/exchange/shop(s) selling/trading (for) x2, operated by/with participants x3
zarci1:D;trading place
zarci2:P;traded
zarci3:A;trade
#
# x1 is a/the buttock(s)/arse/rear/seat [body-part] of x2; [metaphor: rounded surface, support]   
zargu1:S;buttocks
zargu2:D;body* with buttocks
